,col1
267,The Mongol invasions of India were successfully repelled by the Delhi Sultanate
268,"After the fall of the Vijayanagara Empire, Polygar states emerged in Southern India; and managed to weather invasions and flourished until the Polygar Wars, where they were defeated by the British East India Company forces"
269,"The empire at its peak stretched from Tamil Nadu in the south, to Peshawar (modern-day Khyber Pakhtunkhwa, Pakistan [note 4]) in the north, and Bengal in the east"
270,"In 1936-1954, Toynbee's ten-volume A Study of History came out in three separate installments"
271,"In the south, the Bahmani Sultanate, which was established either by a Brahman convert or patronised by a Brahman and from that source it was given the name Bahmani,[307] was the chief rival of the Vijayanagara, and frequently created difficulties for the Vijayanagara"
272,"The stamp series ""Victory"" issued by the Government of British India to commemorate allied victory in World War II"
273,"Kadambas originated from Karnataka, was founded by Mayurasharma in 345Â CE which at later times showed the potential of developing into imperial proportions, an indication to which is provided by the titles and epithets assumed by its rulers"
274,"World history or global history (not to be confused with diplomatic, transnational or international history) is a field of historical study that emerged centuries ago, with leaders such as Voltaire, Hegel, Karl Marx and Arnold J"
275,There were historical traditions and sophisticated use of historical method in ancient and medieval China
276,
277,"During the Delhi Sultanate, there was a synthesis between Indian civilization and Islamic civilization"
278,"In England, archaeologists have uncovered layouts of 14th century medieval villages, abandoned after crises such as the Black Death"
279,"After the fall of the Maratha Empire, many Maratha dynasties and states became vassals in a subsidiary alliance with the British, to form the largest bloc of princely states in the British Raj, in terms of territory and population"
280,"Founded by Dantidurga around 753,  the Rashtrakuta Empire ruled from its capital at Manyakheta for almost two centuries"
281,The Gurjara-Pratiharas were instrumental in containing Arab armies moving east of the Indus River
282,"The Kuru kingdom was the first state-level society of the Vedic period, corresponding to the beginning of the Iron Age in northwestern India, around 1200-800Â BCE,[92] as well as with the composition of the Atharvaveda (the first Indian text to mention iron, as Å›yÄma ayas, literally ""black metal"")"
283,"In Ancient China, Chinese world history, that of China and the surrounding people of East Asia, was based on the dynastic cycle articulated by Sima Qian in circa 100 BC"
284,"Archaeological excavation existed even when the field was still the domain of amateurs, and it remains the source of the majority of data recovered in most field projects"
285,"Contrary to Buckle's dream, the 19th-century historian with greatest influence on methods became Leopold von Ranke in Germany"
286,A Darjeeling Himalayan Railway train shown in 1870
287,Saint Augustine was influential in Christian and Western thought at the beginning of the medieval period
288,"Pandita Ramabai(1858-1922) was a social reformer, and a pioneer in the education and emancipation of women in India"
289,"At a basic level of analysis, artifacts found are cleaned, catalogued and compared to published collections"
290,"Warren Hastings, the first Governor-General of Fort William (Bengal) who oversaw the Company's territories in India"
291,"The English East India Company (""the Company"") was founded in 1600, as The Company of Merchants of London Trading into the East Indies"
292,"Neolithic agricultural cultures sprang up in the Indus Valley region around 5000Â BCE, in the lower Gangetic valley around 3000Â BCE, represented by the Bhirrana findings (7570-6200Â BCE) in Haryana, India, Lahuradewa findings (7000 BCE) in Uttar Pradesh, India,[40] and Mehrgarh findings (7000-5000Â BCE) in Balochistan, Pakistan;[41][42] and later in Southern India, spreading southwards and also northwards into Malwa around 1800Â BCE"
293,"Survey work has many benefits if performed as a preliminary exercise to, or even in place of, excavation"
294,The Bronze Age in the Indian subcontinent began around 3300Â BCE
295,"Along with the desire for independence, tensions between Hindus and Muslims had also been developing over the years"
296,"Television programs, web videos and social media can also bring an understanding of underwater archaeology to a broad audience"
297,"Magadha formed one of the sixteen MahÄ-Janapadas (Sanskrit: ""Great Realms"") or kingdoms in ancient India"
298,Survey was not widely practiced in the early days of archaeology
299,"In August 1947, the British Indian Empire was partitioned into the Union of India and Dominion of Pakistan"
300,"Excavations were also carried out by the Spanish military engineer Roque JoaquÃ­n de Alcubierre in the ancient towns of Pompeii and Herculaneum, both of which had been covered by ash during the Eruption of Mount Vesuvius in AD 79"
301,"In the first two decades after the founding of the empire, Harihara I gained control over most of the area south of the Tungabhadra river and earned the title of Purvapaschima Samudradhishavara (""master of the eastern and western seas"")"
